hevy_template_id,title,type,primary_muscle_group
8372BBCC,Single Arm Cable Crossover,weight_reps,chest
5c9e6e9b-ebbb-4724-aede-820c5fcde952,Single Arm Cable Curl,weight_reps,biceps
D0C4A899,Single Arm Cable Row,weight_reps,upper_back
B33B526E,Single Arm Curl (Cable),weight_reps,biceps
1837BA23,Single Arm Landmine Press (Barbell),weight_reps,shoulders
2EE45F81,Single Arm Lat Pulldown,weight_reps,lats
DE68C825,Single Arm Lateral Raise (Cable),weight_reps,shoulders
8347DFD1,Single Arm Tricep Extension (Dumbbell),weight_reps,triceps
552AB030,Single Arm Triceps Pushdown (Cable),weight_reps,triceps
629AE73D,Single Leg Extensions,weight_reps,quadriceps
CBC0D834,Single Leg Glute Bridge,reps_only,glutes
487B3755,Single Leg Hip Thrust,reps_only,glutes
D1CD146F,Single Leg Hip Thrust (Dumbbell),weight_reps,glutes
3FD83744,Single Leg Press (Machine),weight_reps,quadriceps
93472AC1,Single Leg Romanian Deadlift (Barbell),weight_reps,hamstrings
937292AB,Single Leg Romanian Deadlift (Dumbbell),weight_reps,hamstrings
238BA231,Single Leg Standing Calf Raise,reps_only,calves
E51CCBE5,Single Leg Standing Calf Raise (Barbell),weight_reps,calves
5DA40761,Single Leg Standing Calf Raise (Dumbbell),weight_reps,calves
B05C2C29,Single Leg Standing Calf Raise (Machine),weight_reps,calves
F5DEF1EB,Sissy Squat (Weighted),weight_reps,quadriceps
022DF610,Sit Up,reps_only,abdominals
9237BA12,Sit Up (Weighted),bodyweight_weighted,abdominals
24A809EF,Skating,duration,cardio
5D99A2FA,Ski Erg,distance_duration,cardio
84325755,Skiing,duration,cardio
875F585F,Skullcrusher (Barbell),weight_reps,triceps
68F8A292,Skullcrusher (Dumbbell),weight_reps,triceps
7D1BD41D,Sled Pull,short_distance_weight,full_body
7757171F,Sled Push,distance_duration,full_body
5dd5cb0a-26d9-4ce2-8c90-b69535930e4d,Smith Machine Lunge,weight_reps,quadriceps
FB09C938,Snatch,weight_reps,full_body
911A58D3,Snowboarding,duration,cardio
2348AB72,Spider Curl (Barbell),weight_reps,biceps
90427D4A,Spider Curl (Dumbbell),weight_reps,biceps
C10A5AC9,Spiderman,reps_only,abdominals
213AB238,Spinning,duration,cardio
E764B907,Split Jerk,weight_reps,full_body
